Code Domaine,Domaine,Code zone,Zone,Code Élément,Élément,Code Produit,Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole,Note
"OA","Séries temporelles annuelles","ITA","Italie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","58922.109","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","JAM","Jamaïque","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2781.876","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","JPN","Japon","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","128538.646","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","JOR","Jordanie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","6556.478","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","KAZ","Kazakhstan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","15862.123","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","KEN","Kenya","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","39791.981","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","KGZ","Kirghizistan","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","5254.979","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","KIR","Kiribati","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","98.761","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","KWT","Koweït","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2656.009","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","LSO","Lesotho","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1987.129","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","LVA","Lettonie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2171.259","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","LBN","Liban","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","4764.741","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","LBR","Libéria","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3607.86","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","LBY","Libye","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","6058.748","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","LIE","Liechtenstein","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","35.471","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","LTU","Lituanie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3212.865","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","LUX","Luxembourg","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","485.405","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MKD","Macédoine du Nord","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","2067.313","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MDG","Madagascar","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","19996.473","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MYS","Malaisie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","27236.006","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MWI","Malawi","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","13727.89","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MDV","Maldives","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","343.452","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MLI","Mali","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","14113.577","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MLT","Malte","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","409.491","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MAR","Maroc","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","31536.811","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MTQ","Martinique","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","397.668","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MUS","Maurice","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","1239.262","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MRT","Mauritanie","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","3296.238","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MYT","Mayotte","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","196.274","X","Sources internationales sûres",""
"OA","Séries temporelles annuelles","MEX","Mexique","511","Population totale","3010","Population-Estimations","2008","2008","1000 personnes","110815.271","X","Sources internationales sûres",""
